customer_email,first_name,last_name,phone,birthday,customer_image,hotel_id,hotel_city,hotel_name,hotel_description,hotel_stars,hotel_owner_email,hotel_image,start_date,end_date,adults,children,boylovers
cyer@ilovemen.ro,József,Szájer,,1961-09-07,/images/szajer.jfif,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-01-01,2024-01-12,1,0,4
elios@bff.cash.in,István,Tiborcz,+3628799130,1986-06-23,/images/tiborcz.jpg,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-01-04,2024-01-08,2,1,1
gulyigeri@fides.ru,Gergely,Gulyás,,1981-09-21,/images/gulyigeri.jpg,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-01-07,2024-01-18,1,3,0
lolo.for.gold_diggers@gas_fitter.hu,Lőrinc,Mészáros,+3613209247,1966-02-24,/images/lolo.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-01-10,2024-01-11,1,1,3
peter.takacs2@bm.gov.hu,Péter,Takács,+3614411000,1979-12-14,/images/takacspeter.jpg,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-01-13,2024-01-22,1,1,10
random.numbers@fidesz.ru,Márton,Nagy,,,/images/nagymarton.jpg,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-01-16,2024-01-28,4,1,7
zsoltibacsi@fidesz.hu,Zsolt,Semjén,107,1962-08-08,/images/zsoltibacsi.jpg,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-01-19,2024-01-29,3,0,2
otto.bakos7@example.com,Ottó,Bakos,+36398362082,1959-04-25,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-01-22,2024-01-28,1,0,6
geza.csizmas8@example.com,Géza,Csizmás,+36469319644,1988-05-26,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-01-25,2024-01-26,4,0,6
ferenc.pap9@example.com,Ferenc,Pap,+36414797776,1990-10-28,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-01-28,2024-02-03,2,0,0
misi.simon10@example.com,Misi,Simon,+36185675980,1964-02-13,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-01-31,2024-02-05,4,2,2
sandor.csizmas11@example.com,Sándor,Csizmás,+36324956459,1992-05-23,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-02-03,2024-02-14,1,1,8
balazs.fekete12@example.com,Balázs,Fekete,+36596348124,1974-05-21,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-02-06,2024-02-18,2,2,0
misi.toth13@example.com,Misi,Tóth,+36964411347,1970-07-09,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-02-09,2024-02-11,2,2,3
arpad.fazekas14@example.com,Árpád,Fazekas,+36790256940,1979-03-09,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-02-12,2024-02-15,2,2,9
otto.fazekas15@example.com,Ottó,Fazekas,+36488690725,1964-03-17,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-02-15,2024-02-23,1,0,1
peter.fekete16@example.com,Péter,Fekete,+36950488739,1993-07-20,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-02-18,2024-02-20,4,3,9
zoltan.nyul17@example.com,Zoltán,Nyúl,+36369953851,1985-01-22,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-02-21,2024-03-04,1,2,10
laszlo.molnar18@example.com,László,Molnár,+36415143362,1977-03-15,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-02-24,2024-02-25,3,1,8
geza.racz19@example.com,Géza,Rácz,+36786066793,1982-10-07,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-02-27,2024-03-01,3,1,8
dominik.nagy20@example.com,Dominik,Nagy,+36743111853,1970-08-01,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-03-01,2024-03-03,3,2,3
david.szalai21@example.com,Dávid,Szalai,+36709194872,1955-02-24,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-03-04,2024-03-12,1,1,2
kornel.pap22@example.com,Kornél,Pap,+36277303722,1966-09-28,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-03-07,2024-03-17,4,1,8
robert.racz23@example.com,Róbert,Rácz,+36528414718,1992-11-12,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-03-10,2024-03-18,4,0,3
misi.horvath24@example.com,Misi,Horváth,+36463016614,1951-10-18,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-03-13,2024-03-17,2,0,1
david.takacs25@example.com,Dávid,Takács,+36172370545,1952-06-03,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-03-16,2024-03-25,2,2,10
arpad.fodor26@example.com,Árpád,Fodor,+36678998028,1958-12-19,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-03-19,2024-03-29,4,1,7
gusztav.meszaros27@example.com,Gusztáv,Mészáros,+36201281557,1956-11-14,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-03-22,2024-03-28,4,3,7
david.kiss28@example.com,Dávid,Kiss,+36165082363,1975-12-11,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-03-25,2024-04-07,1,1,3
robert.orbanics29@example.com,Róbert,Orbánics,+36581695135,1958-07-06,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-03-28,2024-04-02,4,1,1
marton.pap30@example.com,Márton,Pap,+36205128697,1953-11-18,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-03-31,2024-04-14,1,0,3
tamas.gombos31@example.com,Tamás,Gombos,+36621453189,1980-04-28,/images/default.png,2,Budapest,Botaniq Elite Club Hotel,Narancsszerető fiúk privát klubja.,5,elios@bff.cash.in,/images/botaniq.jpg,2024-04-03,2024-04-10,1,1,6
adam.erdos32@example.com,Ádám,Erdős,+36384759615,2000-08-10,/images/default.png,3,Felcsút,Hotel Belvedere,,5,lolo.for.gold_diggers@gas_fitter.hu,/images/belvedere.jpg,2024-04-06,2024-04-13,4,1,3
gyuri.fodor33@example.com,Gyuri,Fodor,+36162795957,1987-12-18,/images/default.png,1,Fertő-tó,Hotel Nils am See,LGBT+hotel,4,lolo.for.gold_diggers@gas_fitter.hu,/images/nils.webp,2024-04-09,2024-04-10,3,0,0
